package,old,new,delta
webexercises,1.1.0,2.0.1,*
askpass,NA,1.2.1,*
base64enc,0.1-6,0.1-6,
bslib,0.12.0,0.12.0,
cachem,1.1.0,1.1.0,
cli,3.6.6,3.6.6,
clipr,NA,0.8.1,*
crayon,NA,1.5.3,*
credentials,NA,2.0.3,*
curl,NA,8.0.0,*
desc,NA,1.4.3,*
digest,0.6.39,0.6.39,
evaluate,1.0.5,1.0.5,
fastmap,1.2.0,1.2.0,
fontawesome,0.5.3,0.5.3,
fs,2.1.0,2.1.0,
gert,NA,2.4.1,*
gh,NA,1.6.1,*
gitcreds,NA,0.1.2,*
glue,NA,1.8.1,*
highr,0.12,0.12,
htmltools,0.5.9,0.5.9,
httr2,NA,1.3.0,*
ini,NA,0.3.1,*
jquerylib,0.1.4,0.1.4,
jsonlite,2.0.0,2.0.0,
knitr,1.52,1.52,
lifecycle,1.0.5,1.0.5,
magrittr,NA,2.0.5,*
memoise,2.0.1,2.0.1,
mime,0.13,0.13,
openssl,NA,2.4.2,*
purrr,NA,1.2.2,*
R6,2.6.1,2.6.1,
rappdirs,0.3.4,0.3.4,
rlang,1.3.0,1.3.0,
rmarkdown,2.32,2.32,
rprojroot,NA,2.1.1,*
rstudioapi,0.19.0,0.19.0,
sass,0.4.10,0.4.10,
sys,NA,3.4.3,*
tinytex,0.60,0.60,
usethis,NA,3.2.1,*
vctrs,NA,0.7.3,*
whisker,NA,0.4.1,*
withr,NA,3.0.3,*
xfun,0.60,0.60,
yaml,2.3.12,2.3.12,
zip,NA,3.0.2,*
