"age";"pea";"Bb";"Bl";"Bf";"Bn";"Br";"Bc";"Ab";"Al";"Af";"An";"Ar";"Ac";"sex"
"1";45;42;20;9;9;12;10;9;26;15;10;18;11;10;1
"2";52;60;19;16;12;26;13;19;29;40;17;47;14;20;1
"3";55;47;23;15;13;26;10;15;23;19;12;32;14;16;1
"4";47;59;19;21;17;21;9;18;34;52;22;50;16;24;1
"5";62;64;27;15;12;25;10;11;28;49;20;40;14;20;1
"6";51;67;19;10;9;13;13;9;23;23;11;19;14;12;1
"7";65;36;17;5;6;9;9;8;23;22;15;30;11;17;1
"8";49;62;25;6;10;15;10;13;25;21;12;21;14;15;1
"9";47;27;18;15;11;20;7;12;22;30;17;19;13;17;1
"10";49;65;25;20;14;27;13;15;26;17;11;28;9;14;1
"11";43;55;31;27;15;39;11;15;36;50;16;43;14;25;1
"12";56;21;5;3;3;2;6;11;20;13;14;26;12;15;1
"13";60;28;19;20;7;28;10;8;26;31;19;54;18;22;1
"14";55;47;16;7;10;16;13;14;26;28;13;30;12;19;1
"15";51;43;29;20;15;30;13;15;31;28;22;38;19;25;1
"16";50;69;27;17;15;22;14;20;25;25;16;31;13;18;1
"17";55;66;21;24;13;40;13;19;28;25;16;33;10;17;1
"18";52;62;34;26;13;33;15;13;32;44;15;41;17;20;1
"19";51;46;28;9;11;13;10;9;28;22;18;33;15;18;1
"20";62;40;14;15;7;13;5;6;22;18;10;24;12;8;1
"21";50;46;26;9;8;25;10;15;21;9;11;16;11;11;1
"22";50;47;25;32;13;38;11;19;27;34;15;53;15;20;1
"23";54;57;10;8;6;12;7;13;19;5;6;24;11;8;1
"24";56;47;18;15;8;20;8;11;24;26;10;19;10;7;1
"25";59;39;16;18;9;18;11;11;23;22;9;31;10;12;1
"26";52;40;21;21;11;38;10;17;20;25;13;23;10;17;1
"27";62;67;34;23;14;34;14;20;29;34;21;31;15;26;1
"28";44;31;19;11;5;10;8;7;29;22;16;28;11;16;1
