"sex";"site";"setting";"viewenc";"age";"peabody";"prenumb";"postnumb";"funumb"
1;"1";1;0;36;48;30;34;0
1;"3";1;1;61;28;24;31;0
2;"2";1;0;41;59;28;4;1
2;"3";2;0;53;47;15;19;1
1;"4";1;0;44;54;10;19;1
2;"5";1;1;59;56;38;46;1
1;"3";1;1;40;20;3;3;2
2;"4";2;0;43;36;24;26;2
2;"2";1;1;44;53;13;35;4
2;"1";2;1;56;51;21;30;5
1;"1";1;0;43;43;19;25;5
2;"1";1;0;45;61;33;32;5
2;"3";2;0;51;25;6;15;5
1;"1";2;0;55;30;24;26;6
2;"2";1;0;45;60;18;31;6
2;"4";2;0;54;60;22;22;6
1;"5";1;0;47;41;24;34;6
2;"1";1;0;50;36;7;7;7
2;"2";2;0;54;57;22;29;7
1;"5";1;0;47;46;17;18;7
2;"1";1;0;42;29;1;8;8
1;"3";2;0;51;52;26;24;8
2;"3";1;1;49;10;4;10;8
1;"3";1;0;50;29;13;12;8
1;"4";1;1;61;52;10;33;8
2;"3";1;0;39;17;8;3;9
1;"3";1;0;60;15;3;17;9
2;"4";2;1;52;49;12;19;9
1;"4";1;0;47;22;9;9;9
2;"1";2;0;40;25;15;26;10
2;"3";1;1;51;45;17;28;10
2;"4";1;0;48;39;10;19;10
1;"4";1;0;50;42;7;29;10
1;"1";1;0;45;26;24;21;11
2;"1";2;1;50;47;22;32;11
2;"2";1;0;43;30;15;24;11
2;"3";1;1;52;42;4;12;11
2;"4";2;0;59;45;17;26;11
2;"4";2;0;50;42;23;21;11
2;"5";1;1;54;44;20;22;11
1;"1";2;1;48;29;4;12;12
2;"3";1;1;55;26;9;6;12
1;"4";2;0;57;57;28;24;12
1;"3";1;0;58;36;16;28;13
1;"3";1;0;49;42;8;0;13
1;"4";1;0;46;51;12;31;13
1;"5";1;0;35;45;10;26;13
2;"1";2;1;62;42;36;30;14
1;"1";2;0;40;37;22;34;14
2;"2";1;1;53;54;22;18;14
1;"3";2;0;52;33;6;19;14
1;"1";1;0;44;32;12;20;15
1;"2";2;0;52;60;33;35;15
1;"3";1;0;49;35;8;8;15
1;"1";2;0;63;48;26;29;16
1;"1";2;0;57;57;43;37;16
2;"2";1;0;52;66;25;28;16
2;"3";2;0;50;42;9;16;16
1;"1";2;1;48;33;22;26;17
1;"3";1;0;45;39;7;8;17
2;"3";1;0;43;29;13;5;17
2;"3";1;0;57;34;34;46;17
2;"2";1;0;57;58;31;32;19
1;"3";1;1;57;54;14;26;19
2;"3";2;0;53;34;5;18;19
1;"1";1;0;48;34;17;7;20
2;"1";2;1;59;32;16;30;21
2;"2";1;0;45;54;12;28;21
1;"5";1;0;45;49;20;28;21
2;"1";2;1;45;28;8;17;22
1;"2";2;0;47;70;28;44;22
2;"3";1;0;49;25;13;25;22
2;"5";1;0;63;30;18;21;22
2;"1";1;0;44;36;11;16;23
2;"1";2;0;49;46;24;25;23
2;"2";2;0;58;74;28;44;23
2;"3";1;0;49;41;30;39;24
2;"3";1;1;52;34;17;31;24
2;"1";1;0;37;40;19;24;25
1;"2";1;0;41;60;9;15;25
2;"3";2;1;59;37;11;20;25
2;"4";2;0;60;42;23;28;25
1;"2";2;0;54;72;21;37;26
2;"2";1;0;48;56;17;18;26
1;"4";2;0;59;35;14;20;26
1;"4";2;1;44;17;7;7;26
1;"4";1;0;50;38;34;29;26
2;"4";1;0;57;58;20;28;26
2;"1";2;0;48;27;22;24;27
2;"1";1;1;43;51;35;36;27
1;"2";2;0;46;70;37;47;27
1;"2";1;0;45;55;27;42;27
1;"3";1;0;53;57;20;14;27
1;"3";1;1;52;43;14;25;27
1;"3";1;1;47;29;15;26;27
2;"4";1;0;46;31;14;37;27
2;"2";1;0;50;83;23;23;28
2;"2";1;0;53;65;36;30;28
1;"3";1;0;48;34;7;13;28
2;"4";2;1;54;57;26;24;28
2;"5";1;0;54;59;28;42;28
2;"2";1;0;45;76;30;34;29
1;"3";1;1;47;5;16;25;29
2;"3";1;0;46;25;11;23;29
2;"3";1;0;40;36;0;5;29
1;"2";1;0;57;90;39;60;30
2;"3";2;1;54;41;8;32;30
1;"4";1;1;43;41;13;27;30
1;"4";1;0;43;56;16;18;30
2;"5";1;1;49;41;21;40;30
1;"3";2;0;52;35;20;38;31
