ID,scenario_nr,response,location,person,misconception,condition_medium,condition_bystanders,item_nr,correct,certainty,gender,age,language,language_skill
a071qj46,1,9,museum,stranger,ostriches head in sand,offline,several,5,1,5,female,19,english,basic
a071qj46,2,6,museum,colleague,cracking knuckles,offline,none,2,0,3,female,19,english,basic
a071qj46,3,9,university,colleague,ostriches head in sand,offline,none,5,1,5,female,19,english,basic
a071qj46,6,9,park,colleague,Columbus discovered America,offline,none,10,1,5,female,19,english,basic
a071qj46,11,9,train,student,10% brain,offline,several,1,1,1,female,19,english,basic
a071qj46,12,9,train,student,Eskimo words for snow,offline,none,16,1,1,female,19,english,basic
a071qj46,13,9,park,student,Great Wall of China,offline,none,7,0,5,female,19,english,basic
a071qj46,14,2,museum,student,cracking knuckles,offline,several,2,0,3,female,19,english,basic
a071qj46,15,8,book store,friend,bulls red cape,offline,several,6,0,5,female,19,english,basic
a071qj46,16,7,bar,stranger,short Napoleon,offline,several,13,1,1,female,19,english,basic
a071qj46,19,7,park,colleague,high altitude coin,offline,several,9,1,5,female,19,english,basic
a071qj46,20,9,train,student,heavy knights armor,offline,several,14,1,5,female,19,english,basic
a071qj46,21,2,festival,stranger,Vikings horned helmets,offline,several,12,1,1,female,19,english,basic
a071qj46,22,8,university,stranger,Vikings horned helmets,offline,none,12,1,1,female,19,english,basic
a071qj46,23,6,festival,colleague,lightning never strikes twice,offline,several,8,1,5,female,19,english,basic
a071qj46,24,6,festival,colleague,10% brain,offline,several,1,1,1,female,19,english,basic
a071qj46,26,9,university,friend,wait 24 hours,offline,several,15,1,3,female,19,english,basic
a071qj46,28,7,movie theater,stranger,Eskimo words for snow,offline,none,16,1,1,female,19,english,basic
a071qj46,29,8,book store,student,heavy knights armor,offline,several,14,1,5,female,19,english,basic
a071qj46,31,8,movie theater,friend,eating before swimming,offline,several,4,0,4,female,19,english,basic
a071qj46,32,9,movie theater,colleague,Columbus discovered America,offline,several,10,1,5,female,19,english,basic
a071qj46,33,8,train,student,bulls red cape,offline,none,6,0,5,female,19,english,basic
a071qj46,34,8,book store,student,bulls red cape,offline,none,6,0,5,female,19,english,basic
a071qj46,35,7,bar,friend,Columbus discovered America,offline,several,10,1,5,female,19,english,basic
a071qj46,37,9,museum,stranger,wait 24 hours,offline,none,15,1,3,female,19,english,basic
a071qj46,41,9,movie theater,friend,10% brain,offline,none,1,1,1,female,19,english,basic
a071qj46,42,9,park,friend,lightning never strikes twice,offline,none,8,1,5,female,19,english,basic
a071qj46,43,9,bar,colleague,eating before swimming,offline,none,4,0,4,female,19,english,basic
a071qj46,44,9,bar,friend,short Napoleon,offline,none,13,1,1,female,19,english,basic
a071qj46,45,8,university,stranger,lightning never strikes twice,offline,none,8,1,5,female,19,english,basic
a071qj46,47,9,book store,friend,shaving hair,offline,none,3,0,2,female,19,english,basic
a071qj46,48,6,festival,friend,Middle Ages life expectancy,offline,several,11,0,1,female,19,english,basic
f7by9lzi,1,9,book store,colleague,10% brain,offline,none,1,0,4,male,18,english,fluent
f7by9lzi,2,9,university,stranger,Great Wall of China,offline,none,7,1,2,male,18,english,fluent
f7by9lzi,4,9,university,student,high altitude coin,offline,several,9,0,5,male,18,english,fluent
f7by9lzi,5,9,book store,student,eating before swimming,offline,none,4,0,5,male,18,english,fluent
f7by9lzi,6,9,book store,student,short Napoleon,offline,several,13,0,5,male,18,english,fluent
f7by9lzi,7,9,book store,colleague,Great Wall of China,offline,none,7,1,2,male,18,english,fluent
f7by9lzi,9,7,festival,friend,ostriches head in sand,offline,several,5,0,2,male,18,english,fluent
f7by9lzi,11,9,park,stranger,high altitude coin,offline,none,9,0,5,male,18,english,fluent
f7by9lzi,12,9,bar,friend,Columbus discovered America,offline,several,10,0,2,male,18,english,fluent
f7by9lzi,13,9,train,student,10% brain,offline,several,1,0,4,male,18,english,fluent
f7by9lzi,14,9,bar,colleague,Eskimo words for snow,offline,none,16,0,4,male,18,english,fluent
f7by9lzi,17,9,museum,student,shaving hair,offline,none,3,1,1,male,18,english,fluent
f7by9lzi,20,9,movie theater,colleague,Middle Ages life expectancy,offline,none,11,0,3,male,18,english,fluent
f7by9lzi,21,9,park,student,Vikings horned helmets,offline,none,12,0,4,male,18,english,fluent
f7by9lzi,22,9,train,friend,bulls red cape,offline,several,6,1,5,male,18,english,fluent
f7by9lzi,23,9,movie theater,colleague,Middle Ages life expectancy,offline,several,11,0,3,male,18,english,fluent
f7by9lzi,24,9,movie theater,stranger,Vikings horned helmets,offline,several,12,0,4,male,18,english,fluent
f7by9lzi,28,9,park,colleague,short Napoleon,offline,several,13,0,5,male,18,english,fluent
f7by9lzi,30,9,train,student,shaving hair,offline,none,3,1,1,male,18,english,fluent
f7by9lzi,31,9,museum,colleague,Eskimo words for snow,offline,none,16,0,4,male,18,english,fluent
f7by9lzi,32,9,festival,stranger,bulls red cape,offline,none,6,1,5,male,18,english,fluent
f7by9lzi,33,9,bar,stranger,wait 24 hours,offline,none,15,1,4,male,18,english,fluent
f7by9lzi,35,9,movie theater,stranger,ostriches head in sand,offline,none,5,0,2,male,18,english,fluent
f7by9lzi,37,9,museum,friend,Eskimo words for snow,offline,none,16,0,4,male,18,english,fluent
f7by9lzi,38,9,university,colleague,heavy knights armor,offline,several,14,1,3,male,18,english,fluent
f7by9lzi,39,9,train,friend,heavy knights armor,offline,none,14,1,3,male,18,english,fluent
f7by9lzi,40,9,park,stranger,Middle Ages life expectancy,offline,several,11,0,3,male,18,english,fluent
f7by9lzi,41,9,university,stranger,wait 24 hours,offline,several,15,1,4,male,18,english,fluent
f7by9lzi,44,8,festival,friend,Columbus discovered America,offline,several,10,0,2,male,18,english,fluent
f7by9lzi,45,9,bar,stranger,eating before swimming,offline,several,4,0,5,male,18,english,fluent
f7by9lzi,47,9,museum,stranger,cracking knuckles,offline,several,2,0,4,male,18,english,fluent
f7by9lzi,48,9,festival,colleague,Columbus discovered America,offline,several,10,0,2,male,18,english,fluent
7o4op9i0,2,9,university,stranger,Middle Ages life expectancy,offline,several,11,1,5,female,19,english,fluent
7o4op9i0,4,9,university,student,lightning never strikes twice,offline,several,8,1,5,female,19,english,fluent
7o4op9i0,5,9,book store,colleague,ostriches head in sand,offline,several,5,1,5,female,19,english,fluent
7o4op9i0,6,9,train,student,short Napoleon,offline,several,13,1,5,female,19,english,fluent
7o4op9i0,7,9,museum,colleague,heavy knights armor,offline,several,14,1,5,female,19,english,fluent
7o4op9i0,8,9,festival,friend,Columbus discovered America,offline,none,10,1,5,female,19,english,fluent
7o4op9i0,9,9,university,friend,Vikings horned helmets,offline,several,12,1,5,female,19,english,fluent
7o4op9i0,10,9,movie theater,stranger,Vikings horned helmets,offline,none,12,1,5,female,19,english,fluent
7o4op9i0,11,9,festival,stranger,lightning never strikes twice,offline,none,8,1,5,female,19,english,fluent
7o4op9i0,13,9,museum,student,Eskimo words for snow,offline,none,16,1,5,female,19,english,fluent
7o4op9i0,15,9,bar,stranger,cracking knuckles,offline,none,2,1,5,female,19,english,fluent
7o4op9i0,17,9,festival,stranger,wait 24 hours,offline,several,15,1,5,female,19,english,fluent
7o4op9i0,18,9,movie theater,colleague,Eskimo words for snow,offline,none,16,1,5,female,19,english,fluent
7o4op9i0,19,9,train,friend,Middle Ages life expectancy,offline,none,11,1,5,female,19,english,fluent
7o4op9i0,22,9,bar,friend,Great Wall of China,offline,none,7,1,3,female,19,english,fluent
7o4op9i0,23,9,bar,friend,Columbus discovered America,offline,several,10,1,5,female,19,english,fluent
7o4op9i0,25,9,train,friend,ostriches head in sand,offline,several,5,1,5,female,19,english,fluent
7o4op9i0,28,9,park,student,short Napoleon,offline,several,13,1,5,female,19,english,fluent
7o4op9i0,30,9,book store,stranger,10% brain,offline,several,1,0,4,female,19,english,fluent
7o4op9i0,31,9,park,colleague,short Napoleon,offline,several,13,1,5,female,19,english,fluent
7o4op9i0,32,9,university,stranger,10% brain,offline,none,1,0,4,female,19,english,fluent
7o4op9i0,33,9,book store,stranger,Great Wall of China,offline,several,7,1,3,female,19,english,fluent
7o4op9i0,34,9,festival,friend,Columbus discovered America,offline,none,10,1,5,female,19,english,fluent
7o4op9i0,35,9,train,student,heavy knights armor,offline,several,14,1,5,female,19,english,fluent
7o4op9i0,36,9,book store,student,eating before swimming,offline,none,4,1,5,female,19,english,fluent
7o4op9i0,37,9,park,friend,bulls red cape,offline,several,6,1,5,female,19,english,fluent
7o4op9i0,39,9,park,stranger,Middle Ages life expectancy,offline,none,11,1,5,female,19,english,fluent
7o4op9i0,40,9,movie theater,colleague,lightning never strikes twice,offline,several,8,1,5,female,19,english,fluent
7o4op9i0,43,9,museum,student,eating before swimming,offline,several,4,1,5,female,19,english,fluent
7o4op9i0,45,9,movie theater,student,shaving hair,offline,none,3,1,5,female,19,english,fluent
7o4op9i0,47,9,museum,colleague,bulls red cape,offline,several,6,1,5,female,19,english,fluent
7o4op9i0,48,9,bar,colleague,Eskimo words for snow,offline,none,16,1,5,female,19,english,fluent
u0maxp50,1,8,museum,colleague,Great Wall of China,offline,none,7,0,5,female,19,english,advanced
u0maxp50,3,6,movie theater,student,shaving hair,offline,several,3,1,2,female,19,english,advanced
u0maxp50,4,5,park,colleague,bulls red cape,offline,several,6,0,5,female,19,english,advanced
u0maxp50,7,6,movie theater,colleague,Eskimo words for snow,offline,none,16,0,4,female,19,english,advanced
u0maxp50,8,6,bar,stranger,Middle Ages life expectancy,offline,none,11,1,1,female,19,english,advanced
u0maxp50,10,7,university,student,Middle Ages life expectancy,offline,several,11,1,1,female,19,english,advanced
u0maxp50,11,7,movie theater,colleague,heavy knights armor,offline,none,14,1,1,female,19,english,advanced
u0maxp50,16,8,train,student,heavy knights armor,offline,none,14,1,1,female,19,english,advanced
u0maxp50,18,6,book store,friend,short Napoleon,offline,none,13,0,5,female,19,english,advanced
u0maxp50,19,8,bar,stranger,wait 24 hours,offline,several,15,0,5,female,19,english,advanced
u0maxp50,20,8,book store,friend,Eskimo words for snow,offline,none,16,0,4,female,19,english,advanced
u0maxp50,22,7,festival,student,Eskimo words for snow,offline,none,16,0,4,female,19,english,advanced
u0maxp50,23,5,museum,stranger,eating before swimming,offline,several,4,1,3,female,19,english,advanced
u0maxp50,25,7,museum,colleague,10% brain,offline,several,1,1,5,female,19,english,advanced
u0maxp50,27,5,festival,student,ostriches head in sand,offline,none,5,0,3,female,19,english,advanced
